CP,Media_Comorbilidad,Num_Pacientes
24763.0,3.875,8
24225.0,3.75,4
28000.0,3.75,4
24290.0,3.75,4
24008.0,3.71900826446281,242
24193.0,3.707692307692308,65
24174.0,3.6666666666666665,3
24011.0,3.6666666666666665,3
24746.0,3.6296296296296298,27
24006.0,3.617142857142857,175
24001.0,3.588235294117647,34
24764.0,3.5714285714285716,7
24858.0,3.5714285714285716,7
24288.0,3.5,2
24760.0,3.5,2
34000.0,3.5,2
8030.0,3.5,2
36800.0,3.5,2
24190.0,3.4347826086956523,23
24009.0,3.4166666666666665,120
24325.0,3.4,5
24252.0,3.4,10
24857.0,3.3333333333333335,3
24915.0,3.3333333333333335,3
24717.0,3.3333333333333335,3
24880.0,3.3333333333333335,3
24795.0,3.25,12
24196.0,3.142857142857143,14
24271.0,3.111111111111111,9
24010.0,3.042944785276074,163
24000.0,3.0408163265306123,98
24397.0,3.0,1
5512.0,3.0,1
24339.0,3.0,1
24394.0,3.0,2
24891.0,3.0,1
45593.0,3.0,1
34112.0,3.0,1
33210.0,3.0,1
33205.0,3.0,1
24940.0,3.0,5
24732.0,3.0,5
24649.0,3.0,2
24217.0,3.0,1
24250.0,3.0,1
24294.0,3.0,1
24347.0,3.0,2
49010.0,3.0,1
24391.0,3.0,13
48000.0,3.0,1
24239.0,3.0,1
24765.0,2.9166666666666665,12
24401.0,2.857142857142857,7
24350.0,2.857142857142857,7
24744.0,2.8333333333333335,6
24121.0,2.8125,16
24191.0,2.7241379310344827,58
24282.0,2.7142857142857144,7
24359.0,2.6666666666666665,9
24286.0,2.6666666666666665,3
24123.0,2.6666666666666665,9
24143.0,2.6666666666666665,3
24231.0,2.6666666666666665,6
24793.0,2.6666666666666665,3
33000.0,2.6666666666666665,3
24249.0,2.5,2
24410.0,2.5,2
28053.0,2.5,2
24492.0,2.3333333333333335,3
24640.0,2.3076923076923075,13
24270.0,2.3,10
24200.0,2.2857142857142856,21
24800.0,2.25,4
24272.0,2.25,8
24005.0,2.180451127819549,266
24195.0,2.1052631578947367,19
7248.0,2.0,1
24127.0,2.0,1
24130.0,2.0,1
24346.0,2.0,1
24718.0,2.0,1
53620.0,2.0,1
49690.0,2.0,1
36000.0,2.0,2
33727.0,2.0,1
53203.0,2.0,1
24837.0,2.0,1
34230.0,2.0,1
24110.0,2.0,1
24762.0,2.0,3
24442.0,2.0,1
24514.0,2.0,1
24794.0,2.0,2
24848.0,2.0,1
24850.0,1.8666666666666667,15
