ICD9|ICD10
015.12|A18.02
015.13|A18.02
015.14|A18.02
015.15|A18.02
015.16|A18.02
015.20|A18.02
015.21|A18.02
015.22|A18.02
015.23|A18.02
015.24|A18.02
015.25|A18.02
015.26|A18.02
015.50|A18.03
015.51|A18.03
015.52|A18.03
015.53|A18.03
015.54|A18.03
015.55|A18.03
015.56|A18.03
015.60|A18.03
015.61|A18.03
015.62|A18.03
015.63|A18.03
015.64|A18.03
015.65|A18.03
015.66|A18.03
015.70|A18.03
015.71|A18.03
015.72|A18.03
015.73|A18.03
015.74|A18.03
015.75|A18.03
015.76|A18.03
015.80|A18.02
015.81|A18.02
015.82|A18.02
015.83|A18.02
015.84|A18.02
015.85|A18.02
015.86|A18.02
015.90|A18.02
015.90|A18.03
015.91|A18.02
015.91|A18.03
015.92|A18.02
015.92|A18.03
015.93|A18.02
015.93|A18.03
015.94|A18.02
015.94|A18.03
015.95|A18.02
015.95|A18.03
015.96|A18.02
015.96|A18.03
016.00|A18.11
016.01|A18.11
016.02|A18.11
016.03|A18.11
016.04|A18.11
016.05|A18.11
016.06|A18.11
016.10|A18.12
016.11|A18.12
016.12|A18.12
016.13|A18.12
016.14|A18.12
016.15|A18.12
016.16|A18.12
016.20|A18.11
016.21|A18.11
016.22|A18.11
016.23|A18.11
016.24|A18.11
016.25|A18.11
016.26|A18.11
016.30|A18.13
016.31|A18.13
016.32|A18.13
016.33|A18.13
016.34|A18.13
016.35|A18.13
016.36|A18.13
016.40|A18.15
016.41|A18.15
016.42|A18.15
016.43|A18.15
016.44|A18.15
016.45|A18.15
016.46|A18.15
016.50|A18.14
016.50|A18.15
016.51|A18.14
016.51|A18.15
016.52|A18.14
016.52|A18.15
016.53|A18.14
016.53|A18.15
016.54|A18.14
016.54|A18.15
016.55|A18.14
016.55|A18.15
016.56|A18.14
016.56|A18.15
016.60|A18.17
016.61|A18.17
016.62|A18.17
016.63|A18.17
016.64|A18.17
016.65|A18.17
016.66|A18.17
016.70|A18.16
016.70|A18.17
016.70|A18.18
016.71|A18.16
016.71|A18.17
016.71|A18.18
016.72|A18.16
016.72|A18.17
016.72|A18.18
016.73|A18.16
016.73|A18.17
016.73|A18.18
016.74|A18.16
016.74|A18.17
016.74|A18.18
016.75|A18.16
016.75|A18.17
016.75|A18.18
016.76|A18.16
016.76|A18.17
016.76|A18.18
016.90|A18.10
016.91|A18.10
016.92|A18.10
016.93|A18.10
016.94|A18.10
016.95|A18.10
016.96|A18.10
017.00|A18.4
017.01|A18.4
017.02|A18.4
017.03|A18.4
017.04|A18.4
017.05|A18.4
017.06|A18.4
017.10|A18.4
017.11|A18.4
017.12|A18.4
017.13|A18.4
017.14|A18.4
017.15|A18.4
017.16|A18.4
017.20|A18.2
017.21|A18.2
017.22|A18.2
017.23|A18.2
017.24|A18.2
017.25|A18.2
017.26|A18.2
017.30|A18.50
017.30|A18.51
017.30|A18.52
017.30|A18.53
017.30|A18.54
017.30|A18.59
017.31|A18.50
017.31|A18.51
017.31|A18.52
017.31|A18.54
017.31|A18.59
017.32|A18.50
017.32|A18.51
017.32|A18.52
017.32|A18.54
017.32|A18.59
017.33|A18.50
017.33|A18.51
017.33|A18.52
017.33|A18.54
017.33|A18.59
017.34|A18.50
017.34|A18.51
017.34|A18.52
017.34|A18.54
017.34|A18.59
017.35|A18.50
017.35|A18.51
017.35|A18.52
017.35|A18.54
017.35|A18.59
017.36|A18.50
017.36|A18.51
017.36|A18.52
017.36|A18.54
017.36|A18.59
017.40|A18.6
017.41|A18.6
017.42|A18.6
017.43|A18.6
017.44|A18.6
017.45|A18.6
017.46|A18.6
017.50|A18.81
017.51|A18.81
017.52|A18.81
017.53|A18.81
017.54|A18.81
017.55|A18.81
017.56|A18.81
017.60|A18.7
017.61|A18.7
017.62|A18.7
017.63|A18.7
017.64|A18.7
017.65|A18.7
017.66|A18.7
017.70|A18.85
017.71|A18.85
017.72|A18.85
017.73|A18.85
017.74|A18.85
017.75|A18.85
017.76|A18.85
017.80|A18.89
017.81|A18.89
017.82|A18.89
017.83|A18.89
017.84|A18.89
017.85|A18.89
017.86|A18.89
017.90|A18.84
017.91|A18.84
017.91|A18.89
017.92|A18.84
017.92|A18.89
017.93|A18.84
017.93|A18.89
017.94|A18.84
017.94|A18.89
017.95|A18.84
017.95|A18.89
017.96|A18.84
017.96|A18.89
018.00|A19.2
018.01|A19.2
018.02|A19.2
018.03|A19.2
018.04|A19.2
018.05|A19.2
018.06|A19.2
018.80|A19.8
018.81|A19.8
018.82|A19.8
018.83|A19.8
018.84|A19.8
018.85|A19.8
018.86|A19.8
018.90|A19.9
018.91|A19.9
018.92|A19.9
018.93|A19.9
018.94|A19.9
018.95|A19.9
018.96|A19.9
020.0|A20.0
020.1|A20.1
020.2|A20.7
020.3|A20.2
020.4|A20.2
020.5|A20.2
020.8|A20.8
020.9|A20.9
021.0|A21.0
021.1|A21.3
021.2|A21.2
021.3|A21.1
021.8|A21.7
021.8|A21.8
021.9|A21.9
022.0|A22.0
022.1|A22.1
022.2|A22.2
022.3|A22.7
022.8|A22.8
022.9|A22.9
023.0|A23.0
023.1|A23.1
023.2|A23.2
023.3|A23.3
023.8|A23.8
023.9|A23.9
024|A24.0
025|A24.3
025|A24.9
026.0|A25.0
026.1|A25.1
026.9|A25.9
027.0|A32.11
027.0|A32.12
027.0|A32.7
027.0|A32.81
027.0|A32.89
027.0|A32.9
027.1|A26.7
027.1|A26.8
027.1|A26.9
027.2|A28.0
027.8|A28.8
027.9|A28.9
030.0|A30.5
030.1|A30.1
030.2|A30.0
030.3|A30.3
030.8|A30.8
030.9|A30.9
031.0|A31.0
031.1|A31.1
031.2|A31.2
031.8|A31.8
031.9|A31.9
032.0|A36.0
032.1|A36.1
032.2|A36.89
032.3|A36.2
032.81|A36.86
032.82|A36.81
032.83|A36.89
032.84|A36.85
032.85|A36.3
032.89|A36.82
032.89|A36.83
032.89|A36.84
032.89|A36.89
032.9|A36.9
033.0|A37.00
033.1|A37.10
033.8|A37.80
033.9|A37.90
034.0|J02.0
034.0|J03.00
034.1|A38.9
035|A46
036.0|A39.0
036.1|A39.81
036.2|A39.4
036.3|A39.1
036.40|A39.50
036.41|A39.53
036.42|A39.51
036.43|A39.52
036.81|A39.82
036.82|A39.83
036.89|A39.89
036.9|A39.9
037|A35
038.0|A40.9
038.10|A41.2
038.11|A41.01
038.12|A41.02
038.19|A41.1
038.2|A40.3
038.3|A41.4
038.40|A41.50
038.41|A41.3
038.42|A41.51
038.43|A41.52
038.44|A41.53
038.49|A41.59
038.8|A41.89
038.9|A41.9
039.0|L08.1
039.1|A42.0
039.2|A42.1
039.3|A42.2
039.4|B47.9
039.8|A42.81
039.8|A42.82
039.8|A42.89
039.8|A43.8
039.9|A42.9
039.9|A43.9
039.9|B47.1
040.0|A48.0
040.1|A48.8
040.2|K90.81
040.3|A48.8
040.41|A48.51
040.42|A48.52
040.81|M60.009
040.82|A48.3
040.89|A48.8
041.00|B95.5
041.01|B95.0
041.02|B95.1
041.03|B95.4
041.04|B95.2
041.05|B95.4
041.09|B95.4
041.10|B95.8
041.11|B95.61
041.12|B95.62
041.19|B95.7
041.2|B95.3
041.3|B96.1
041.41|B96.21
041.42|B96.22
041.43|B96.23
041.49|B96.20
041.49|B96.29
041.5|B96.3
041.6|B96.4
041.7|B96.5
041.81|A49.3
041.81|B96.0
041.82|B96.6
041.83|B96.7
041.84|B96.89
041.85|B96.89
041.86|B96.81
041.89|B96.89
041.9|B96.89
042|B20
045.00|A80.39
045.01|A80.39
045.02|A80.39
045.03|A80.39
045.10|A80.39
045.11|A80.39
045.12|A80.39
045.13|A80.39
045.20|A80.4
045.21|A80.4
045.22|A80.4
045.23|A80.4
045.90|A80.9
045.91|A80.9
045.92|A80.9
045.93|A80.9
046.0|A81.81
046.11|A81.01
046.19|A81.00
046.19|A81.09
046.2|A81.1
046.3|A81.2
046.71|A81.82
046.72|A81.83
046.79|A81.89
046.8|A81.89
046.9|A81.9
047.0|A87.0
047.1|A87.0
047.8|A87.8
047.9|A87.9
048|A88.0
049.0|A87.2
049.1|A87.1
049.8|A85.0
049.8|A85.1
049.8|A85.8
049.8|A88.8
049.9|A86
049.9|A89
050.0|B03
050.1|B03
050.2|B03
050.9|B03
051.01|B08.010
051.02|B08.011
051.1|B08.03
051.2|B08.02
051.9|B08.04
052.0|B01.11
052.1|B01.2
052.2|B01.12
052.7|B01.0
052.7|B01.81
052.7|B01.89
052.8|B01.89
052.9|B01.9
053.0|B02.1
053.10|B02.29
053.11|B02.21
053.12|B02.22
053.13|B02.23
053.14|B02.24
053.19|B02.29
053.20|B02.39
053.21|B02.33
053.22|B02.32
053.29|B02.39
053.71|B02.8
053.79|B02.8
053.8|B02.8
053.9|B02.9
054.0|B00.0
054.10|A60.9
054.11|A60.04
054.12|A60.04
054.13|A60.01
054.19|A60.09
054.2|B00.2
054.3|B00.4
054.40|B00.50
054.41|B00.59
054.42|B00.52
054.43|B00.52
054.44|B00.51
054.49|B00.59
054.5|B00.7
054.6|B00.89
054.71|B00.81
054.72|B00.3
054.73|B00.1
054.74|B00.82
054.79|B00.89
054.8|B00.9
054.9|B00.9
055.0|B05.0
055.1|B05.2
055.2|B05.3
055.71|B05.81
055.79|B05.1
055.79|B05.4
055.79|B05.89
055.8|B05.89
055.9|B05.9
056.00|B06.00
056.01|B06.01
056.09|B06.09
056.71|B06.82
056.79|B06.81
056.79|B06.89
056.8|B06.89
056.9|B06.9
057.0|B08.3
057.8|B09
057.8|L44.4
057.9|B09
058.10|B08.20
058.11|B08.21
058.12|B08.22
058.21|B10.01
058.29|B10.09
058.81|B10.81
058.82|B10.82
058.89|B10.89
059.00|B08.09
059.01|B04
059.09|B08.09
059.10|B08.60
059.11|B08.61
059.12|B08.62
059.19|B08.69
059.20|B08.70
059.21|B08.71
059.22|B08.72
059.8|B08.8
059.9|B08.8
060.0|A95.0
060.1|A95.1
060.9|A95.9
061|A90
062.0|A83.0
062.1|A83.1
062.2|A83.2
062.3|A83.3
062.4|A83.4
062.5|A83.5
062.8|A83.8
062.9|A83.9
063.0|A84.0
063.1|A84.8
063.2|A84.1
063.8|A84.8
063.9|A84.9
064|A85.2
065.0|A98.0
065.1|A98.1
065.2|A98.2
065.3|A98.8
065.4|A91
065.4|A92.0
065.8|A98.8
065.9|A99
066.0|A93.1
066.1|A93.2
066.2|A92.2
066.3|A92.0
066.3|A92.1
066.3|A92.4
066.3|A92.8
066.3|A93.0
066.3|B33.1
066.40|A92.30
066.41|A92.31
066.42|A92.32
066.49|A92.39
066.8|A93.8
066.9|A94
070.0|B15.0
070.1|B15.9
070.20|B16.2
070.20|B19.11
070.21|B16.0
070.22|B18.1
070.23|B18.0
070.30|B16.9
070.30|B19.10
070.31|B16.1
070.32|B18.1
070.33|B18.0
070.41|B17.11
070.42|B17.0
070.43|B17.2
070.44|B18.2
070.49|B17.8
070.51|B17.10
070.52|B17.0
070.53|B17.2
070.54|B18.2
070.59|B17.8
070.59|B18.8
070.59|B18.9
070.6|B19.0
070.70|B19.20
070.71|B19.21
070.9|B19.9
071|A82.9
072.0|B26.0
072.1|B26.1
072.2|B26.2
072.3|B26.3
072.71|B26.81
072.72|B26.84
072.79|B26.82
072.79|B26.83
072.79|B26.85
072.79|B26.89
072.8|B26.89
072.9|B26.9
073.0|A70
073.0|J17
073.7|A70
073.8|A70
073.9|A70
074.0|B08.5
074.1|B33.0
074.20|B33.20
074.21|B33.23
074.22|B33.21
074.23|B33.22
074.3|B08.4
074.8|B34.1
075|B27.90
076.0|A71.0
076.1|A71.1
076.9|A71.9
077.0|A74.0
077.1|B30.0
077.2|B30.2
077.3|B30.1
077.4|B30.3
077.8|B30.8
077.98|A74.0
077.98|A74.89
077.99|B30.9
078.0|B08.1
078.10|B07.9
078.11|A63.0
078.12|B07.0
078.19|B07.8
078.2|B33.8
078.3|A28.1
078.4|B08.8
078.5|B25.9
078.6|A98.5
078.7|A96.0
078.7|A96.1
078.7|A96.8
078.81|A88.1
078.82|R11.11
078.88|A74.89
078.89|A98.3
078.89|A98.4
078.89|B33.8
079.0|B97.0
079.1|B97.12
079.2|B97.11
079.3|B97.89
079.4|B97.7
079.50|B97.30
079.51|B97.33
079.52|B97.34
079.53|B97.35
079.59|B33.3
079.59|B97.39
079.6|B97.4
079.81|B33.4
079.82|B97.21
079.83|B34.3
079.88|A74.89
079.89|B33.8
079.89|B34.1
079.89|B34.2
079.89|B34.4
079.89|B34.8
079.89|B97.19
079.89|B97.29
079.89|B97.89
079.98|A74.9
079.99|B97.89
080|A75.0
081.0|A75.2
081.1|A75.1
081.2|A75.3
081.9|A75.9
082.0|A77.0
082.1|A77.1
082.2|A77.2
082.3|A77.3
082.40|A77.40
082.41|A77.41
082.49|A77.49
082.8|A77.8
082.9|A79.9
083.0|A78
083.1|A79.0
083.2|A79.1
083.8|A79.81
083.8|A79.89
083.9|A79.9
084.0|B50.8
084.0|B50.9
084.1|B51.9
084.2|B52.9
084.3|B53.0
084.4|B53.1
084.4|B53.8
084.5|B50.9
084.5|B51.9
084.5|B52.9
084.6|B54
084.7|B53.8
084.8|B50.8
084.9|B50.0
084.9|B50.8
084.9|B51.0
084.9|B51.8
084.9|B52.0
084.9|B52.8
085.0|B55.0
085.1|B55.1
085.2|B55.1
085.3|B55.1
085.4|B55.1
085.5|B55.2
085.9|B55.9
086.0|B57.0
086.0|B57.2
086.1|B57.5
086.2|B57.1
086.3|B56.0
086.4|B56.1
086.5|B56.9
086.9|B56.9
087.0|A68.0
087.1|A68.1
087.9|A68.9
088.0|A44.9
088.81|A69.20
088.82|B60.0
088.89|B60.8
088.9|B64
090.0|A50.09
090.1|A50.1
090.2|A50.2
090.3|A50.31
090.40|A50.40
090.40|A50.45
090.41|A50.42
090.42|A50.41
090.49|A50.49
090.5|A50.52
090.5|A50.57
090.5|A50.59
090.6|A50.6
090.7|A50.7
090.9|A50.9
091.0|A51.0
091.1|A51.1
091.2|A51.2
091.3|A51.31
091.3|A51.39
091.4|A51.49
091.50|A51.43
091.51|A51.43
091.52|A51.43
091.61|A51.46
091.62|A51.45
091.69|A51.49
091.7|A51.49
091.81|A51.41
091.82|A51.32
091.89|A51.49
091.9|A51.49
092.0|A51.5
092.9|A51.5
093.0|A52.01
093.1|A52.02
093.20|A52.03
093.21|A52.03
093.22|A52.03
093.23|A52.03
093.24|A52.03
093.81|A52.06
093.82|A52.06
093.89|A52.09
093.9|A52.00
094.0|A52.11
094.1|A52.17
094.2|A52.13
094.3|A52.2
094.81|A52.14
094.82|A52.19
094.83|A52.19
094.84|A52.15
094.85|A52.15
094.86|A52.15
094.87|A52.19
094.89|A52.19
094.9|A52.3
095.0|A52.71
095.1|A52.72
095.2|A52.74
095.3|A52.74
095.4|A52.75
095.5|A52.77
095.6|A52.78
095.7|A52.78
095.8|A52.73
095.8|A52.76
095.8|A52.79
095.9|A52.79
096|A52.8
097.0|A52.9
097.1|A53.0
097.9|A53.9
098.0|A54.00
098.10|A54.29
098.11|A54.01
098.12|A54.22
098.13|A54.23
098.14|A54.23
098.15|A54.03
098.16|A54.24
098.17|A54.29
098.19|A54.21
098.2|A54.00
098.30|A54.29
098.31|A54.01
098.32|A54.22
098.33|A54.23
098.34|A54.23
098.35|A54.03
098.36|A54.24
098.37|A54.29
098.39|A54.29
098.40|A54.31
098.41|A54.32
098.42|A54.39
098.43|A54.33
098.49|A54.39
098.50|A54.42
098.51|A54.49
098.52|A54.49
098.53|A54.41
098.59|A54.40
098.6|A54.5
098.7|A54.6
098.81|A54.89
098.82|A54.81
098.83|A54.83
098.84|A54.83
098.85|A54.83
098.86|A54.85
098.89|A54.86
098.89|A54.89
099.0|A57
099.1|A55
099.2|A58
099.3|M02.30
099.40|N34.1
099.41|N34.1
099.49|N34.1
099.50|A56.19
099.51|A56.4
099.52|A56.3
099.53|A56.00
099.54|A56.19
099.55|A56.2
099.56|A56.8
099.59|A56.8
099.8|A63.8
099.9|A64
100.0|A27.0
100.81|A27.81
100.89|A27.89
100.9|A27.9
101|A69.0
101|A69.1
102.0|A66.0
102.1|A66.1
102.2|A66.2
102.3|A66.3
102.4|A66.4
102.5|A66.5
102.6|A66.6
102.7|A66.7
102.8|A66.8
102.9|A66.9
103.0|A67.0
103.1|A67.1
103.2|A67.2
103.3|A67.3
103.9|A67.9
104.0|A65
104.8|A69.8
104.9|A69.9
110.0|B35.0
110.1|B35.1
110.2|B35.2
110.3|B35.6
110.4|B35.3
110.5|B35.5
110.6|B35.8
110.8|B35.8
110.9|B35.9
111.0|B36.0
111.1|B36.1
111.2|B36.2
111.3|B36.3
111.8|B36.8
111.9|B36.9
112.0|B37.0
112.0|B37.83
112.1|B37.3
112.2|B37.42
112.2|B37.49
112.3|B37.2
112.4|B37.1
112.5|B37.7
112.81|B37.6
112.82|B37.84
112.83|B37.5
112.84|B37.81
112.85|B37.82
112.89|B37.89
112.9|B37.9
114.0|B38.0
114.1|B38.3
114.2|B38.4
114.3|B38.89
114.4|B38.1
114.5|B38.2
114.9|B38.9
115.00|B39.4
115.01|B39.4
115.01|G02
115.02|B39.4
115.02|H32
115.03|B39.4
115.03|I32
115.04|B39.4
115.04|I39
115.05|B39.2
115.09|B39.3
115.10|B39.5
115.11|B39.5
115.11|G02
115.12|B39.5
115.12|H32
115.13|B39.5
115.13|I32
115.14|B39.5
115.14|I39
115.15|B39.5
115.15|J17
115.19|B39.5
115.90|B39.9
115.91|B39.9
115.91|G02
115.92|B39.9
115.92|H32
115.93|B39.9
115.93|I32
115.94|B39.9
115.94|I39
115.95|B39.9
115.95|J17
115.99|B39.9
116.0|B40.9
116.1|B41.0
116.1|B41.9
116.2|B48.0
117.0|B48.1
117.1|B42.0
117.1|B42.1
117.1|B42.7
117.1|B42.9
117.2|B43.9
117.3|B44.9
117.4|B47.0
117.5|B45.0
117.5|B45.7
117.5|B45.9
117.6|B48.2
117.7|B46.9
117.8|B48.8
117.9|B48.8
117.9|B49
118|B48.8
120.0|B65.0
120.1|B65.1
120.2|B65.2
120.3|B65.3
120.8|B65.8
120.9|B65.9
121.0|B66.0
121.1|B66.1
121.2|B66.4
121.3|B66.3
121.4|B66.5
121.5|B66.8
121.6|B66.8
121.8|B66.2
121.8|B66.8
121.9|B66.9
122.0|B67.0
122.1|B67.1
122.2|B67.31
122.3|B67.39
